═══════════════════════════════════════════════════
PRIX HT STANDARDS — BOUTIQUE HET
═══════════════════════════════════════════════════

Ce document contient les prix HT (€) par taux de TVA pour TOUS les produits standards.

⚠️ UTILISATION : copier directement le HT correspondant au taux TVA du client.
   NE JAMAIS recalculer un HT depuis le TTC catalogue (risque de double TVA).
   IMPORTANT : pour identifier le bon produit, croiser COULEUR + TAILLE + FINITION.
   Si la combinaison demandée n'apparaît PAS dans cette table → produit sur-mesure obligatoire.

Taux de TVA par pays client :
  0%=LIC/export | 17%=LU | 18%=MT | 19%=DE,RO,CY | 20%=FR,AT,BG | 21%=ES,NL,BE,CZ,LT,LV
  22%=IT,SI,EE | 23%=PT,PL,IE,SK | 24%=GR | 25%=SE,DK,HR | 25,5%=FI | 27%=HU


═══ ACCESSOIRES DIVERS ═══

Produit / Couleur                   | Taille     | SKU            |     TTC | 0% | 17% | 18% | 19% | 20% | 21% | 22% | 23% | 24% | 25% | 25,5% | 27%
═══ ÉCHANTILLONS — FILET DE CAMOUFLAGE ═══

Produit / Couleur                   | Taille     | SKU            |     TTC | 0% | 17% | 18% | 19% | 20% | 21% | 22% | 23% | 24% | 25% | 25,5% | 27%
----------------------------------------------------------------------------------------------------------------------------------------------------
Sable                               | Sable      | 3760388670185  |    9.90 |   9.90 |   8.46 |   8.39 |   8.32 |   8.25 |   8.18 |   8.11 |   8.05 |   7.98 |   7.92 |   7.89 |   7.80
Blanc                               | Blanc      | 3760388670178  |    9.90 |   9.90 |   8.46 |   8.39 |   8.32 |   8.25 |   8.18 |   8.11 |   8.05 |   7.98 |   7.92 |   7.89 |   7.80
Gris                                | Gris       | 3760388677900  |    9.90 |   9.90 |   8.46 |   8.39 |   8.32 |   8.25 |   8.18 |   8.11 |   8.05 |   7.98 |   7.92 |   7.89 |   7.80
Vert                                | Vert       | 3760388670154  |    9.90 |   9.90 |   8.46 |   8.39 |   8.32 |   8.25 |   8.18 |   8.11 |   8.05 |   7.98 |   7.92 |   7.89 |   7.80
Militaire                           | Militaire  | 3760388670147  |    9.90 |   9.90 |   8.46 |   8.39 |   8.32 |   8.25 |   8.18 |   8.11 |   8.05 |   7.98 |   7.92 |   7.89 |   7.80
Bleu                                | Bleu       | 3760388677894  |    9.90 |   9.90 |   8.46 |   8.39 |   8.32 |   8.25 |   8.18 |   8.11 |   8.05 |   7.98 |   7.92 |   7.89 |   7.80
Noir                                | Noir       | 3760388670161  |    9.90 |   9.90 |   8.46 |   8.39 |   8.32 |   8.25 |   8.18 |   8.11 |   8.05 |   7.98 |   7.92 |   7.89 |   7.80

═══ GORDIJN VAN KOKOSVEZEL ═══

Produit / Couleur                   | Taille     | SKU            |     TTC | 0% | 17% | 18% | 19% | 20% | 21% | 22% | 23% | 24% | 25% | 25,5% | 27%
----------------------------------------------------------------------------------------------------------------------------------------------------
Rideau En Fibre De Coco             | 2x2        | 3760388679218  |   98.90 |  98.90 |  84.53 |  83.81 |  83.11 |  82.42 |  81.74 |  81.07 |  80.41 |  79.76 |  79.12 |  78.80 |  77.87
Rideau En Fibre De Coco             | 2x4        | 3760388679201  |  189.90 | 189.90 | 162.31 | 160.93 | 159.58 | 158.25 | 156.94 | 155.66 | 154.39 | 153.15 | 151.92 | 151.31 | 149.53

═══ CAMOUFLAGENET — GROEN (rechthoekig) ═══

Produit / Couleur                   | Taille     | SKU            |     TTC | 0% | 17% | 18% | 19% | 20% | 21% | 22% | 23% | 24% | 25% | 25,5% | 27%
----------------------------------------------------------------------------------------------------------------------------------------------------
Vert                                | 2x2        | 3770030527569  |   49.99 |  49.99 |  42.73 |  42.36 |  42.01 |  41.66 |  41.31 |  40.98 |  40.64 |  40.31 |  39.99 |  39.83 |  39.36
Vert                                | 2x3        | 3770030527576  |   59.99 |  59.99 |  51.27 |  50.84 |  50.41 |  49.99 |  49.58 |  49.17 |  48.77 |  48.38 |  47.99 |  47.80 |  47.24
Vert                                | 2x4        | 3770030527583  |   79.99 |  79.99 |  68.37 |  67.79 |  67.22 |  66.66 |  66.11 |  65.57 |  65.03 |  64.51 |  63.99 |  63.74 |  62.98
Vert                                | 2x5        | 3770030527590  |   98.99 |  98.99 |  84.61 |  83.89 |  83.18 |  82.49 |  81.81 |  81.14 |  80.48 |  79.83 |  79.19 |  78.88 |  77.94
Vert                                | 2x6        | 3770030527606  |  117.99 | 117.99 | 100.85 |  99.99 |  99.15 |  98.33 |  97.51 |  96.71 |  95.93 |  95.15 |  94.39 |  94.02 |  92.91
Vert                                | 2x7        | 3760388678211  |  137.99 | 137.99 | 117.94 | 116.94 | 115.96 | 114.99 | 114.04 | 113.11 | 112.19 | 111.28 | 110.39 | 109.95 | 108.65
Vert                                | 2x8        | 3770030527613  |  156.99 | 156.99 | 134.18 | 133.04 | 131.92 | 130.83 | 129.74 | 128.68 | 127.63 | 126.60 | 125.59 | 125.09 | 123.61
Vert                                | 2x9        | 3760388678976  |  176.99 | 176.99 | 151.27 | 149.99 | 148.73 | 147.49 | 146.27 | 145.07 | 143.89 | 142.73 | 141.59 | 141.03 | 139.36
Vert                                | 2x10       | 3760388678204  |  196.99 | 196.99 | 168.37 | 166.94 | 165.54 | 164.16 | 162.80 | 161.47 | 160.15 | 158.86 | 157.59 | 156.96 | 155.11
Vert                                | 3x3        | 3770030527620  |   88.99 |  88.99 |  76.06 |  75.42 |  74.78 |  74.16 |  73.55 |  72.94 |  72.35 |  71.77 |  71.19 |  70.91 |  70.07
Vert                                | 3x4        | 3770030527637  |  118.99 | 118.99 | 101.70 | 100.84 |  99.99 |  99.16 |  98.34 |  97.53 |  96.74 |  95.96 |  95.19 |  94.81 |  93.69
Vert                                | 3x5        | 3770030527644  |  146.99 | 146.99 | 125.63 | 124.57 | 123.52 | 122.49 | 121.48 | 120.48 | 119.50 | 118.54 | 117.59 | 117.12 | 115.74
Vert                                | 3x6        | 3770030527651  |  176.99 | 176.99 | 151.27 | 149.99 | 148.73 | 147.49 | 146.27 | 145.07 | 143.89 | 142.73 | 141.59 | 141.03 | 139.36
Vert                                | 3x7        | 3760388678198  |  205.99 | 205.99 | 176.06 | 174.57 | 173.10 | 171.66 | 170.24 | 168.84 | 167.47 | 166.12 | 164.79 | 164.14 | 162.20
Vert                                | 3x8        | 3760388678181  |  235.99 | 235.99 | 201.70 | 199.99 | 198.31 | 196.66 | 195.03 | 193.43 | 191.86 | 190.31 | 188.79 | 188.04 | 185.82
Vert                                | 3x9        | 3760388678174  |  264.99 | 264.99 | 226.49 | 224.57 | 222.68 | 220.83 | 219.00 | 217.20 | 215.44 | 213.70 | 211.99 | 211.15 | 208.65
Vert                                | 3x10       | 3760388678167  |  294.99 | 294.99 | 252.13 | 249.99 | 247.89 | 245.83 | 243.79 | 241.80 | 239.83 | 237.90 | 235.99 | 235.05 | 232.28
Vert                                | 4x4        | 3770030527668  |  156.99 | 156.99 | 134.18 | 133.04 | 131.92 | 130.83 | 129.74 | 128.68 | 127.63 | 126.60 | 125.59 | 125.09 | 123.61
Vert                                | 4x5        | 3770030527675  |  195.99 | 195.99 | 167.51 | 166.09 | 164.70 | 163.33 | 161.98 | 160.65 | 159.34 | 158.06 | 156.79 | 156.17 | 154.32
Vert                                | 4x6        | 3770030527682  |  236.99 | 236.99 | 202.56 | 200.84 | 199.15 | 197.49 | 195.86 | 194.25 | 192.67 | 191.12 | 189.59 | 188.84 | 186.61
Vert                                | 4x7        | 3760388678150  |  276.99 | 276.99 | 236.74 | 234.74 | 232.76 | 230.83 | 228.92 | 227.04 | 225.20 | 223.38 | 221.59 | 220.71 | 218.10
Vert                                | 4x8        | 3760388678143  |  316.99 | 316.99 | 270.93 | 268.64 | 266.38 | 264.16 | 261.98 | 259.83 | 257.72 | 255.64 | 253.59 | 252.58 | 249.60
Vert                                | 4x9        | 3760388678136  |  354.99 | 354.99 | 303.41 | 300.84 | 298.31 | 295.83 | 293.38 | 290.98 | 288.61 | 286.28 | 283.99 | 282.86 | 279.52
Vert                                | 4x10       | 3760388678129  |  391.99 | 391.99 | 335.03 | 332.19 | 329.40 | 326.66 | 323.96 | 321.30 | 318.69 | 316.12 | 313.59 | 312.34 | 308.65
Vert                                | 5x5        | 3760388678112  |  246.99 | 246.99 | 211.10 | 209.31 | 207.55 | 205.83 | 204.12 | 202.45 | 200.80 | 199.19 | 197.59 | 196.80 | 194.48
Vert                                | 5x6        | 3760388678105  |  293.99 | 293.99 | 251.27 | 249.14 | 247.05 | 244.99 | 242.97 | 240.98 | 239.02 | 237.09 | 235.19 | 234.25 | 231.49
Vert                                | 5x7        | 3760388678099  |  344.99 | 344.99 | 294.86 | 292.36 | 289.91 | 287.49 | 285.12 | 282.78 | 280.48 | 278.22 | 275.99 | 274.89 | 271.65
Vert                                | 5x8        | 3760388678082  |  391.99 | 391.99 | 335.03 | 332.19 | 329.40 | 326.66 | 323.96 | 321.30 | 318.69 | 316.12 | 313.59 | 312.34 | 308.65
Vert                                | 5x9        | 3760388678075  |  442.99 | 442.99 | 378.62 | 375.42 | 372.26 | 369.16 | 366.11 | 363.11 | 360.15 | 357.25 | 354.39 | 352.98 | 348.81
Vert                                | 5x10       | 3760388678068  |  489.99 | 489.99 | 418.79 | 415.25 | 411.76 | 408.33 | 404.95 | 401.63 | 398.37 | 395.15 | 391.99 | 390.43 | 385.82
Vert                                | 6x6        | 3760388678051  |  354.99 | 354.99 | 303.41 | 300.84 | 298.31 | 295.83 | 293.38 | 290.98 | 288.61 | 286.28 | 283.99 | 282.86 | 279.52
Vert                                | 6x7        | 3760388678044  |  412.99 | 412.99 | 352.98 | 349.99 | 347.05 | 344.16 | 341.31 | 338.52 | 335.76 | 333.06 | 330.39 | 329.08 | 325.19
Vert                                | 6x8        | 3760388678037  |  469.99 | 469.99 | 401.70 | 398.30 | 394.95 | 391.66 | 388.42 | 385.24 | 382.11 | 379.02 | 375.99 | 374.49 | 370.07
Vert                                | 6x9        | 3760388678969  |  529.99 | 529.99 | 452.98 | 449.14 | 445.37 | 441.66 | 438.01 | 434.42 | 430.89 | 427.41 | 423.99 | 422.30 | 417.31
Vert                                | 6x10       | 3760388678020  |  585.99 | 585.99 | 500.85 | 496.60 | 492.43 | 488.33 | 484.29 | 480.32 | 476.41 | 472.57 | 468.79 | 466.92 | 461.41
Vert                                | 7x7        | 3760388678877  |  478.99 | 478.99 | 409.39 | 405.92 | 402.51 | 399.16 | 395.86 | 392.61 | 389.42 | 386.28 | 383.19 | 381.67 | 377.16
Vert                                | 7x8        | 3760388678952  |  549.99 | 549.99 | 470.08 | 466.09 | 462.18 | 458.33 | 454.54 | 450.81 | 447.15 | 443.54 | 439.99 | 438.24 | 433.06
Vert                                | 7x9        | 3760388678945  |  619.99 | 619.99 | 529.91 | 525.42 | 521.00 | 516.66 | 512.39 | 508.19 | 504.06 | 499.99 | 495.99 | 494.02 | 488.18
Vert                                | 7x10       | 3760388678938  |  683.99 | 683.99 | 584.61 | 579.65 | 574.78 | 569.99 | 565.28 | 560.65 | 556.09 | 551.60 | 547.19 | 545.01 | 538.57
Vert                                | 8x8        | 3760388678921  |  624.99 | 624.99 | 534.18 | 529.65 | 525.20 | 520.83 | 516.52 | 512.29 | 508.12 | 504.02 | 499.99 | 498.00 | 492.12
Vert                                | 8x9        | 3760388678914  |  703.99 | 703.99 | 601.70 | 596.60 | 591.59 | 586.66 | 581.81 | 577.04 | 572.35 | 567.73 | 563.19 | 560.95 | 554.32
Vert                                | 8x10       | 3760388678907  |  781.99 | 781.99 | 668.37 | 662.70 | 657.13 | 651.66 | 646.27 | 640.98 | 635.76 | 630.64 | 625.59 | 623.10 | 615.74
Vert                                | 9x9        | 3760388678891  |  789.99 | 789.99 | 675.21 | 669.48 | 663.86 | 658.33 | 652.88 | 647.53 | 642.27 | 637.09 | 631.99 | 629.47 | 622.04
Vert                                | 9x10       | 3760388678884  |  878.99 | 878.99 | 751.27 | 744.91 | 738.65 | 732.49 | 726.44 | 720.48 | 714.63 | 708.86 | 703.19 | 700.39 | 692.12
Vert                                | 10x10      | 3760388678860  |  969.99 | 969.99 | 829.05 | 822.03 | 815.12 | 808.33 | 801.64 | 795.07 | 788.61 | 782.25 | 775.99 | 772.90 | 763.77

═══ CAMOUFLAGENET — BEIGE (rechthoekig) ═══

Produit / Couleur                   | Taille     | SKU            |     TTC | 0% | 17% | 18% | 19% | 20% | 21% | 22% | 23% | 24% | 25% | 25,5% | 27%
----------------------------------------------------------------------------------------------------------------------------------------------------
Sable                               | 2x2        | 3770030527002  |   49.99 |  49.99 |  42.73 |  42.36 |  42.01 |  41.66 |  41.31 |  40.98 |  40.64 |  40.31 |  39.99 |  39.83 |  39.36
Sable                               | 2x3        | 3770030527019  |   59.99 |  59.99 |  51.27 |  50.84 |  50.41 |  49.99 |  49.58 |  49.17 |  48.77 |  48.38 |  47.99 |  47.80 |  47.24
Sable                               | 2x4        | 3770030527026  |   79.99 |  79.99 |  68.37 |  67.79 |  67.22 |  66.66 |  66.11 |  65.57 |  65.03 |  64.51 |  63.99 |  63.74 |  62.98
Sable                               | 2x5        | 3770030527033  |   98.99 |  98.99 |  84.61 |  83.89 |  83.18 |  82.49 |  81.81 |  81.14 |  80.48 |  79.83 |  79.19 |  78.88 |  77.94
Sable                               | 2x6        | 3770030527040  |  117.99 | 117.99 | 100.85 |  99.99 |  99.15 |  98.33 |  97.51 |  96.71 |  95.93 |  95.15 |  94.39 |  94.02 |  92.91
Sable                               | 2x7        | 3770030527057  |  137.99 | 137.99 | 117.94 | 116.94 | 115.96 | 114.99 | 114.04 | 113.11 | 112.19 | 111.28 | 110.39 | 109.95 | 108.65
Sable                               | 2x8        | 3770030527064  |  156.99 | 156.99 | 134.18 | 133.04 | 131.92 | 130.83 | 129.74 | 128.68 | 127.63 | 126.60 | 125.59 | 125.09 | 123.61
Sable                               | 2x9        | 3770030527965  |  176.99 | 176.99 | 151.27 | 149.99 | 148.73 | 147.49 | 146.27 | 145.07 | 143.89 | 142.73 | 141.59 | 141.03 | 139.36
Sable                               | 2x10       | 3770030527958  |  196.99 | 196.99 | 168.37 | 166.94 | 165.54 | 164.16 | 162.80 | 161.47 | 160.15 | 158.86 | 157.59 | 156.96 | 155.11
Sable                               | 3x3        | 3770030527071  |   88.99 |  88.99 |  76.06 |  75.42 |  74.78 |  74.16 |  73.55 |  72.94 |  72.35 |  71.77 |  71.19 |  70.91 |  70.07
Sable                               | 3x4        | 3770030527088  |  118.99 | 118.99 | 101.70 | 100.84 |  99.99 |  99.16 |  98.34 |  97.53 |  96.74 |  95.96 |  95.19 |  94.81 |  93.69
Sable                               | 3x5        | 3770030527095  |  146.99 | 146.99 | 125.63 | 124.57 | 123.52 | 122.49 | 121.48 | 120.48 | 119.50 | 118.54 | 117.59 | 117.12 | 115.74
Sable                               | 3x6        | 3770030527101  |  176.99 | 176.99 | 151.27 | 149.99 | 148.73 | 147.49 | 146.27 | 145.07 | 143.89 | 142.73 | 141.59 | 141.03 | 139.36
Sable                               | 3x7        | 3770030527118  |  205.99 | 205.99 | 176.06 | 174.57 | 173.10 | 171.66 | 170.24 | 168.84 | 167.47 | 166.12 | 164.79 | 164.14 | 162.20
Sable                               | 3x8        | 3770030527125  |  235.99 | 235.99 | 201.70 | 199.99 | 198.31 | 196.66 | 195.03 | 193.43 | 191.86 | 190.31 | 188.79 | 188.04 | 185.82
Sable                               | 3x9        | 3770030527941  |  264.99 | 264.99 | 226.49 | 224.57 | 222.68 | 220.83 | 219.00 | 217.20 | 215.44 | 213.70 | 211.99 | 211.15 | 208.65
Sable                               | 3x10       | 3770030527132  |  294.99 | 294.99 | 252.13 | 249.99 | 247.89 | 245.83 | 243.79 | 241.80 | 239.83 | 237.90 | 235.99 | 235.05 | 232.28
Sable                               | 4x4        | 3770030527149  |  156.99 | 156.99 | 134.18 | 133.04 | 131.92 | 130.83 | 129.74 | 128.68 | 127.63 | 126.60 | 125.59 | 125.09 | 123.61
Sable                               | 4x5        | 3770030527156  |  195.99 | 195.99 | 167.51 | 166.09 | 164.70 | 163.33 | 161.98 | 160.65 | 159.34 | 158.06 | 156.79 | 156.17 | 154.32
Sable                               | 4x6        | 3770030527163  |  236.99 | 236.99 | 202.56 | 200.84 | 199.15 | 197.49 | 195.86 | 194.25 | 192.67 | 191.12 | 189.59 | 188.84 | 186.61
Sable                               | 4x7        | 3770030527170  |  276.99 | 276.99 | 236.74 | 234.74 | 232.76 | 230.83 | 228.92 | 227.04 | 225.20 | 223.38 | 221.59 | 220.71 | 218.10
Sable                               | 4x8        | 3770030527187  |  316.99 | 316.99 | 270.93 | 268.64 | 266.38 | 264.16 | 261.98 | 259.83 | 257.72 | 255.64 | 253.59 | 252.58 | 249.60
Sable                               | 4x9        | 3770030527927  |  354.99 | 354.99 | 303.41 | 300.84 | 298.31 | 295.83 | 293.38 | 290.98 | 288.61 | 286.28 | 283.99 | 282.86 | 279.52
Sable                               | 4x10       | 3770030527934  |  391.99 | 391.99 | 335.03 | 332.19 | 329.40 | 326.66 | 323.96 | 321.30 | 318.69 | 316.12 | 313.59 | 312.34 | 308.65
Sable                               | 5x5        | 3770030527194  |  246.99 | 246.99 | 211.10 | 209.31 | 207.55 | 205.83 | 204.12 | 202.45 | 200.80 | 199.19 | 197.59 | 196.80 | 194.48
Sable                               | 5x6        | 3770030527200  |  293.99 | 293.99 | 251.27 | 249.14 | 247.05 | 244.99 | 242.97 | 240.98 | 239.02 | 237.09 | 235.19 | 234.25 | 231.49
Sable                               | 5x7        | 3770030527217  |  344.99 | 344.99 | 294.86 | 292.36 | 289.91 | 287.49 | 285.12 | 282.78 | 280.48 | 278.22 | 275.99 | 274.89 | 271.65
Sable                               | 5x8        | 3770030527224  |  391.99 | 391.99 | 335.03 | 332.19 | 329.40 | 326.66 | 323.96 | 321.30 | 318.69 | 316.12 | 313.59 | 312.34 | 308.65
Sable                               | 5x9        | 3770030527910  |  442.99 | 442.99 | 378.62 | 375.42 | 372.26 | 369.16 | 366.11 | 363.11 | 360.15 | 357.25 | 354.39 | 352.98 | 348.81
Sable                               | 5x10       | 3770030527231  |  489.99 | 489.99 | 418.79 | 415.25 | 411.76 | 408.33 | 404.95 | 401.63 | 398.37 | 395.15 | 391.99 | 390.43 | 385.82
Sable                               | 6x6        | 3770030527897  |  354.99 | 354.99 | 303.41 | 300.84 | 298.31 | 295.83 | 293.38 | 290.98 | 288.61 | 286.28 | 283.99 | 282.86 | 279.52
Sable                               | 6x7        | 3770030527248  |  412.99 | 412.99 | 352.98 | 349.99 | 347.05 | 344.16 | 341.31 | 338.52 | 335.76 | 333.06 | 330.39 | 329.08 | 325.19
Sable                               | 6x8        | 3770030527880  |  469.99 | 469.99 | 401.70 | 398.30 | 394.95 | 391.66 | 388.42 | 385.24 | 382.11 | 379.02 | 375.99 | 374.49 | 370.07
Sable                               | 6x9        | 3760388677887  |  529.99 | 529.99 | 452.98 | 449.14 | 445.37 | 441.66 | 438.01 | 434.42 | 430.89 | 427.41 | 423.99 | 422.30 | 417.31
Sable                               | 6x10       | 3770030527873  |  585.99 | 585.99 | 500.85 | 496.60 | 492.43 | 488.33 | 484.29 | 480.32 | 476.41 | 472.57 | 468.79 | 466.92 | 461.41
Sable                               | 7x7        | 3760388677870  |  478.99 | 478.99 | 409.39 | 405.92 | 402.51 | 399.16 | 395.86 | 392.61 | 389.42 | 386.28 | 383.19 | 381.67 | 377.16
Sable                               | 7x8        | 3760388677863  |  549.99 | 549.99 | 470.08 | 466.09 | 462.18 | 458.33 | 454.54 | 450.81 | 447.15 | 443.54 | 439.99 | 438.24 | 433.06
Sable                               | 7x9        | 3760388677856  |  619.99 | 619.99 | 529.91 | 525.42 | 521.00 | 516.66 | 512.39 | 508.19 | 504.06 | 499.99 | 495.99 | 494.02 | 488.18
Sable                               | 7x10       | 3760388677849  |  683.99 | 683.99 | 584.61 | 579.65 | 574.78 | 569.99 | 565.28 | 560.65 | 556.09 | 551.60 | 547.19 | 545.01 | 538.57
Sable                               | 8x8        | 3760388677832  |  624.99 | 624.99 | 534.18 | 529.65 | 525.20 | 520.83 | 516.52 | 512.29 | 508.12 | 504.02 | 499.99 | 498.00 | 492.12
Sable                               | 8x9        | 3760388677825  |  703.99 | 703.99 | 601.70 | 596.60 | 591.59 | 586.66 | 581.81 | 577.04 | 572.35 | 567.73 | 563.19 | 560.95 | 554.32
Sable                               | 8x10       | 3760388677818  |  781.99 | 781.99 | 668.37 | 662.70 | 657.13 | 651.66 | 646.27 | 640.98 | 635.76 | 630.64 | 625.59 | 623.10 | 615.74
Sable                               | 9x9        | 3760388677801  |  789.99 | 789.99 | 675.21 | 669.48 | 663.86 | 658.33 | 652.88 | 647.53 | 642.27 | 637.09 | 631.99 | 629.47 | 622.04
Sable                               | 9x10       | 3760388677795  |  878.99 | 878.99 | 751.27 | 744.91 | 738.65 | 732.49 | 726.44 | 720.48 | 714.63 | 708.86 | 703.19 | 700.39 | 692.12
Sable                               | 10x10      | 3770030527736  |  969.99 | 969.99 | 829.05 | 822.03 | 815.12 | 808.33 | 801.64 | 795.07 | 788.61 | 782.25 | 775.99 | 772.90 | 763.77

═══ CAMOUFLAGENET — GRIJS (rechthoekig) ═══

Produit / Couleur                   | Taille     | SKU            |     TTC | 0% | 17% | 18% | 19% | 20% | 21% | 22% | 23% | 24% | 25% | 25,5% | 27%
----------------------------------------------------------------------------------------------------------------------------------------------------
Gris                                | 2x2        | 3760388677313  |   49.99 |  49.99 |  42.73 |  42.36 |  42.01 |  41.66 |  41.31 |  40.98 |  40.64 |  40.31 |  39.99 |  39.83 |  39.36
Gris                                | 2x3        | 3760388677290  |   59.99 |  59.99 |  51.27 |  50.84 |  50.41 |  49.99 |  49.58 |  49.17 |  48.77 |  48.38 |  47.99 |  47.80 |  47.24
Gris                                | 2x4        | 3760388677283  |   79.99 |  79.99 |  68.37 |  67.79 |  67.22 |  66.66 |  66.11 |  65.57 |  65.03 |  64.51 |  63.99 |  63.74 |  62.98
Gris                                | 2x5        | 3760388677276  |   98.99 |  98.99 |  84.61 |  83.89 |  83.18 |  82.49 |  81.81 |  81.14 |  80.48 |  79.83 |  79.19 |  78.88 |  77.94
Gris                                | 2x6        | 3760388677269  |  117.99 | 117.99 | 100.85 |  99.99 |  99.15 |  98.33 |  97.51 |  96.71 |  95.93 |  95.15 |  94.39 |  94.02 |  92.91
Gris                                | 2x7        | 3760388677252  |  137.99 | 137.99 | 117.94 | 116.94 | 115.96 | 114.99 | 114.04 | 113.11 | 112.19 | 111.28 | 110.39 | 109.95 | 108.65
Gris                                | 2x8        | 3760388677245  |  156.99 | 156.99 | 134.18 | 133.04 | 131.92 | 130.83 | 129.74 | 128.68 | 127.63 | 126.60 | 125.59 | 125.09 | 123.61
Gris                                | 2x9        | 3760388678853  |  176.99 | 176.99 | 151.27 | 149.99 | 148.73 | 147.49 | 146.27 | 145.07 | 143.89 | 142.73 | 141.59 | 141.03 | 139.36
Gris                                | 2x10       | 3760388677320  |  196.99 | 196.99 | 168.37 | 166.94 | 165.54 | 164.16 | 162.80 | 161.47 | 160.15 | 158.86 | 157.59 | 156.96 | 155.11
Gris                                | 3x3        | 3760388677214  |   88.99 |  88.99 |  76.06 |  75.42 |  74.78 |  74.16 |  73.55 |  72.94 |  72.35 |  71.77 |  71.19 |  70.91 |  70.07
Gris                                | 3x4        | 3760388677191  |  118.99 | 118.99 | 101.70 | 100.84 |  99.99 |  99.16 |  98.34 |  97.53 |  96.74 |  95.96 |  95.19 |  94.81 |  93.69
Gris                                | 3x5        | 3760388677177  |  146.99 | 146.99 | 125.63 | 124.57 | 123.52 | 122.49 | 121.48 | 120.48 | 119.50 | 118.54 | 117.59 | 117.12 | 115.74
Gris                                | 3x6        | 3760388677160  |  176.99 | 176.99 | 151.27 | 149.99 | 148.73 | 147.49 | 146.27 | 145.07 | 143.89 | 142.73 | 141.59 | 141.03 | 139.36
Gris                                | 3x7        | 3760388677153  |  205.99 | 205.99 | 176.06 | 174.57 | 173.10 | 171.66 | 170.24 | 168.84 | 167.47 | 166.12 | 164.79 | 164.14 | 162.20
Gris                                | 3x8        | 3760388677146  |  235.99 | 235.99 | 201.70 | 199.99 | 198.31 | 196.66 | 195.03 | 193.43 | 191.86 | 190.31 | 188.79 | 188.04 | 185.82
Gris                                | 3x9        | 3760388677139  |  264.99 | 264.99 | 226.49 | 224.57 | 222.68 | 220.83 | 219.00 | 217.20 | 215.44 | 213.70 | 211.99 | 211.15 | 208.65
Gris                                | 3x10       | 3760388677238  |  294.99 | 294.99 | 252.13 | 249.99 | 247.89 | 245.83 | 243.79 | 241.80 | 239.83 | 237.90 | 235.99 | 235.05 | 232.28
Gris                                | 4x4        | 3760388677122  |  156.99 | 156.99 | 134.18 | 133.04 | 131.92 | 130.83 | 129.74 | 128.68 | 127.63 | 126.60 | 125.59 | 125.09 | 123.61
Gris                                | 4x5        | 3760388677115  |  195.99 | 195.99 | 167.51 | 166.09 | 164.70 | 163.33 | 161.98 | 160.65 | 159.34 | 158.06 | 156.79 | 156.17 | 154.32
